category_code,category_name_en,group_code,group_name_en,type_code,type_name_en,component_code,component_name_en,unit,result_type,sex,age_from_days,age_to_days,age_from_value,age_to_value,age_unit,low_normal,high_normal,normal_range_text,range_note,status
CHEM,Clinical Chemistry,ELEC,Electrolytes,NAS,"Sodium, Serum",NAS,"Sodium, Serum",,NUMERIC,B,0,364,0,1,year,,,not established,Not established (per Mayo),OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,NAS,"Sodium, Serum",NAS,"Sodium, Serum",mmol/L,NUMERIC,B,365,36500,1,,year,135.0,145.0,135-145 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,KS,"Potassium, Serum",KS,"Potassium, Serum",,NUMERIC,B,0,364,0,1,year,,,not established,Not established (per Mayo),OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,KS,"Potassium, Serum",KS,"Potassium, Serum",mmol/L,NUMERIC,B,365,36500,1,,year,3.6,5.2,3.6-5.2 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,CL,"Chloride, Serum",CL,"Chloride, Serum",mmol/L,NUMERIC,B,365,6205,1,17,year,102.0,112.0,102-112 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,CL,"Chloride, Serum",CL,"Chloride, Serum",mmol/L,NUMERIC,B,6570,36500,18,,year,98.0,107.0,98-107 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,M,360,720,12,24,month,17.0,25.0,17-25 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,M,1460,1825,4,5,year,19.0,27.0,19-27 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,M,2190,2555,6,7,year,20.0,28.0,20-28 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,M,2920,6205,8,17,year,21.0,29.0,21-29 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,M,6570,36500,18,,year,22.0,29.0,22-29 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,F,365,1095,1,3,year,18.0,25.0,18-25 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,F,1460,1825,4,5,year,19.0,26.0,19-26 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,F,2190,2555,6,7,year,20.0,27.0,20-27 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,F,2920,3285,8,9,year,21.0,28.0,21-28 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,HCO3,"Bicarbonate, Serum",HCO3,"Bicarbonate, Serum",mmol/L,NUMERIC,F,3650,36500,10,,year,22.0,29.0,22-29 mmol/L,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,CA,"Calcium, Total, Serum",CA,"Calcium, Total, Serum",mg/dL,NUMERIC,B,0,364,0,1,year,8.7,11.0,8.7-11.0 mg/dL,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,CA,"Calcium, Total, Serum",CA,"Calcium, Total, Serum",mg/dL,NUMERIC,B,365,6205,1,17,year,9.3,10.6,9.3-10.6 mg/dL,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,CA,"Calcium, Total, Serum",CA,"Calcium, Total, Serum",mg/dL,NUMERIC,B,6570,21535,18,59,year,8.6,10.0,8.6-10.0 mg/dL,,OK
CHEM,Clinical Chemistry,ELEC,Electrolytes,CA,"Calcium, Total, Serum",CA,"Calcium, Total, Serum",mg/dL,NUMERIC,B,21900,36500,60,,year,8.8,10.2,8.8-10.2 mg/dL,,OK
