category_code,category_name_en,category_name_ar,category_sort_order,category_is_active,group_code,group_name_en,group_name_ar,group_sort_order,group_is_active,type_code,type_name_en,type_name_ar,type_abbrev,type_default_price,type_sample_type,type_default_tube_type,type_default_tube_color,type_turnaround_hours,type_special_type,type_sort_order,type_is_active,type_notes,type_report_name_line1,type_report_name_line2,type_bill_name_line1,type_bill_name_line2,type_history_name,type_collection_notes,type_collection_type_id,type_outside_lab_name,type_outside_cost_price,type_patient_question,type_reference_type,type_barcode_name,type_is_routine_test,type_see_report,type_print_with_other,type_add_with_group,type_is_main_test,type_is_send_outside,type_behavior,component_code,component_name_en,component_name_ar,component_unit,component_result_type,component_decimal_places,component_sort_order,component_is_active,range_sex,range_age_from_days,range_age_to_days,range_age_from_value,range_age_to_value,range_age_description,range_for_pregnant_only,range_age_unit,range_low_flag,range_high_flag,range_low_comment,range_high_comment,range_critical_range_text,range_critical_flag,range_critical_comment,range_fasting_state,range_low_normal,range_high_normal,range_low_critical,range_high_critical,range_normal_range_text,range_note,range_unit,range_version,range_is_active,source_status,seed_decision
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,NAS,"Sodium, Serum",,NAS,0.00,Serum,Serum,,24,STANDARD,1,1,,"Sodium, Serum",,"Sodium, Serum",,"Sodium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,NAS,"Sodium, Serum",,mmol/L,NUMERIC,1,1,1,B,0,364,0,1,0-1 year,,year,,,,,,,,A,,,,,not established,Not established (per Mayo),,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,NAS,"Sodium, Serum",,NAS,0.00,Serum,Serum,,24,STANDARD,1,1,,"Sodium, Serum",,"Sodium, Serum",,"Sodium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,NAS,"Sodium, Serum",,mmol/L,NUMERIC,1,1,1,B,365,36500,1,,1+ year,,year,,,,,,,,A,135.0,145.0,,,135-145 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,KS,"Potassium, Serum",,KS,0.00,Serum,Serum,,24,STANDARD,2,1,,"Potassium, Serum",,"Potassium, Serum",,"Potassium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,KS,"Potassium, Serum",,mmol/L,NUMERIC,1,2,1,B,0,364,0,1,0-1 year,,year,,,,,,,,A,,,,,not established,Not established (per Mayo),,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,KS,"Potassium, Serum",,KS,0.00,Serum,Serum,,24,STANDARD,2,1,,"Potassium, Serum",,"Potassium, Serum",,"Potassium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,KS,"Potassium, Serum",,mmol/L,NUMERIC,1,2,1,B,365,36500,1,,1+ year,,year,,,,,,,,A,3.6,5.2,,,3.6-5.2 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CL,"Chloride, Serum",,CL,0.00,Serum,Serum,,24,STANDARD,3,1,,"Chloride, Serum",,"Chloride, Serum",,"Chloride, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CL,"Chloride, Serum",,mmol/L,NUMERIC,1,3,1,B,365,6205,1,17,1-17 year,,year,,,,,,,,A,102.0,112.0,,,102-112 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CL,"Chloride, Serum",,CL,0.00,Serum,Serum,,24,STANDARD,3,1,,"Chloride, Serum",,"Chloride, Serum",,"Chloride, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CL,"Chloride, Serum",,mmol/L,NUMERIC,1,3,1,B,6570,36500,18,,18+ year,,year,,,,,,,,A,98.0,107.0,,,98-107 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,M,360,720,12,24,12-24 month,,month,,,,,,,,A,17.0,25.0,,,17-25 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,M,1460,1825,4,5,4-5 year,,year,,,,,,,,A,19.0,27.0,,,19-27 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,M,2190,2555,6,7,6-7 year,,year,,,,,,,,A,20.0,28.0,,,20-28 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,M,2920,6205,8,17,8-17 year,,year,,,,,,,,A,21.0,29.0,,,21-29 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,M,6570,36500,18,,18+ year,,year,,,,,,,,A,22.0,29.0,,,22-29 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,F,365,1095,1,3,1-3 year,,year,,,,,,,,A,18.0,25.0,,,18-25 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,F,1460,1825,4,5,4-5 year,,year,,,,,,,,A,19.0,26.0,,,19-26 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,F,2190,2555,6,7,6-7 year,,year,,,,,,,,A,20.0,27.0,,,20-27 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,F,2920,3285,8,9,8-9 year,,year,,,,,,,,A,21.0,28.0,,,21-28 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,HCO3,"Bicarbonate, Serum",,HCO3,0.00,Serum,Serum,,24,STANDARD,4,1,,"Bicarbonate, Serum",,"Bicarbonate, Serum",,"Bicarbonate, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,HCO3,"Bicarbonate, Serum",,mmol/L,NUMERIC,1,4,1,F,3650,36500,10,,10+ year,,year,,,,,,,,A,22.0,29.0,,,22-29 mmol/L,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CA,"Calcium, Total, Serum",,CA,0.00,Serum,Serum,,24,STANDARD,5,1,,"Calcium, Total, Serum",,"Calcium, Total, Serum",,"Calcium, Total, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CA,"Calcium, Total, Serum",,mg/dL,NUMERIC,1,5,1,B,0,364,0,1,0-1 year,,year,,,,,,,,A,8.7,11.0,,,8.7-11.0 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CA,"Calcium, Total, Serum",,CA,0.00,Serum,Serum,,24,STANDARD,5,1,,"Calcium, Total, Serum",,"Calcium, Total, Serum",,"Calcium, Total, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CA,"Calcium, Total, Serum",,mg/dL,NUMERIC,1,5,1,B,365,6205,1,17,1-17 year,,year,,,,,,,,A,9.3,10.6,,,9.3-10.6 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CA,"Calcium, Total, Serum",,CA,0.00,Serum,Serum,,24,STANDARD,5,1,,"Calcium, Total, Serum",,"Calcium, Total, Serum",,"Calcium, Total, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CA,"Calcium, Total, Serum",,mg/dL,NUMERIC,1,5,1,B,6570,21535,18,59,18-59 year,,year,,,,,,,,A,8.6,10.0,,,8.6-10.0 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CA,"Calcium, Total, Serum",,CA,0.00,Serum,Serum,,24,STANDARD,5,1,,"Calcium, Total, Serum",,"Calcium, Total, Serum",,"Calcium, Total, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CA,"Calcium, Total, Serum",,mg/dL,NUMERIC,1,5,1,B,21900,36500,60,,60+ year,,year,,,,,,,,A,8.8,10.2,,,8.8-10.2 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CAI,"Calcium, Ionized, Serum",,CAI,0.00,Serum,Serum,,24,STANDARD,6,1,,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CAI,"Calcium, Ionized, Serum",,mg/dL,NUMERIC,2,6,1,B,1095,8395,3,23,3-23 year,,year,,,,,,,,A,4.83,5.52,,,4.83-5.52 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CAI,"Calcium, Ionized, Serum",,CAI,0.00,Serum,Serum,,24,STANDARD,6,1,,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CAI,"Calcium, Ionized, Serum",,mg/dL,NUMERIC,2,6,1,B,8760,35405,24,97,24-97 year,,year,,,,,,,,A,4.57,5.43,,,4.57-5.43 mg/dL,,,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,CAI,"Calcium, Ionized, Serum",,CAI,0.00,Serum,Serum,,24,STANDARD,6,1,,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,"Calcium, Ionized, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,CAI,"Calcium, Ionized, Serum",,mg/dL,NUMERIC,2,6,1,B,35770,36500,98,,98+ year,,year,,,,,,,,A,,,,,Not established,Not established (per Mayo),,1,1,OK,KEEP
CHEM,Clinical Chemistry,,1,1,ELEC,Electrolytes,,1,1,MGS,"Magnesium, Serum",,MGS,0.00,Serum,Serum,,24,STANDARD,7,1,,"Magnesium, Serum",,"Magnesium, Serum",,"Magnesium, Serum",,,,,,NORMAL_RANGE,,0,0,1,1,0,0,0,MGS,"Magnesium, Serum",,mg/dL,NUMERIC,1,7,1,B,0,730,0,2,0-2 year,,year,,,,,,,,A,1.6,2.7,,,1.6-2.7 mg/dL,,,1,1,OK,KEEP
